Beleuchtungsstärke vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Beleuchtungsstärke ( lux )
-0,002	0,1
-0,002	0,1
0,000	0,1
-0,002	0,1
-0,006	0,1
-0,008	0,1
-0,009	0,1
-0,011	0,1
-0,011	0,1
-0,011	0,1
-0,014	0,1
-0,017	0,1
-0,022	0,1
-0,025	0,1
-0,030	0,1
-0,038	0,1
-0,047	0,1
-0,058	0,1
-0,066	0,1
-0,068	0,1
-0,055	0,1
-0,041	0,1
-0,039	0,1
-0,050	0,1
-0,066	0,1
-0,074	0,1
-0,066	0,1
-0,060	0,1
-0,057	0,1
-0,060	0,1
-0,068	0,1
-0,072	0,1
-0,071	0,1
-0,064	0,1
-0,061	0,1
-0,061	0,1
-0,064	0,1
-0,066	0,1
-0,066	0,1
-0,066	0,1
-0,064	0,1
-0,063	0,1
-0,064	0,1
-0,064	0,1
-0,064	0,1
-0,064	0,1
-0,064	0,1
-0,063	0,1
-0,060	0,1
-0,053	0,1
-0,049	0,1
-0,044	0,1
-0,025	0,1
0,011	0,1
0,063	0,1
0,119	0,1
0,154	0,1
0,156	0,1
0,121	0,1
0,074	0,1
0,050	0,1
0,058	0,1
0,086	0,1
0,105	0,1
0,099	0,1
0,074	0,1
0,055	0,1
0,053	0,1
0,066	0,1
0,082	0,1
0,082	0,1
0,069	0,1
0,053	0,1
0,050	0,1
0,057	0,1
0,066	0,1
0,071	0,1
0,066	0,1
0,058	0,1
0,053	0,1
0,055	0,1
0,058	0,1
0,060	0,1
0,057	0,1
0,052	0,1
0,047	0,1
0,044	0,1
0,041	0,1
0,036	0,1
0,033	0,1
0,033	0,1
0,035	0,1
0,036	0,1
0,038	0,1
0,038	0,1
0,038	0,1
0,038	0,1
0,036	0,1
0,035	0,1
0,035	0,1
0,033	0,1
0,031	0,1
0,031	0,1
0,031	0,1
0,030	0,1
0,030	0,1
0,033	0,1
0,041	0,1
0,047	0,1
0,055	0,1
0,060	0,1
0,060	0,1
0,061	0,1
0,063	0,1
0,069	0,1
0,075	0,1
0,080	0,1
0,080	0,1
0,077	0,1
0,075	0,1
0,075	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,077	0,1
0,074	0,1
0,071	0,1
0,069	0,1
0,068	0,1
0,066	0,1
0,064	0,1
0,060	0,1
0,055	0,1
0,052	0,1
0,052	0,1
0,052	0,1
0,052	0,1
0,050	0,1
0,049	0,1
0,047	0,1
0,046	0,1
0,046	0,1
0,046	0,1
0,046	0,1
0,046	0,1
0,044	0,1
0,044	0,1
0,041	0,1
0,039	0,1
0,036	0,1
0,035	0,1
0,031	0,1
0,030	0,1
0,028	0,1
0,027	0,1
0,024	0,1
0,022	0,1
0,020	0,1
0,019	0,1
0,017	0,1
0,016	0,1
0,014	0,1
0,013	0,1
0,011	0,1
0,011	0,1
0,009	0,1
0,006	0,1
0,005	0,1
0,003	0,1
0,002	0,1
0,002	0,1
0,000	0,1
-0,002	0,1
-0,003	0,1
-0,005	0,1
-0,006	0,1
-0,006	0,1
-0,008	0,1
-0,008	0,1
-0,009	0,1
-0,009	0,1
-0,011	0,1
-0,011	0,1
-0,011	0,1
-0,013	0,1
-0,013	0,1
-0,013	0,1
-0,013	0,1
-0,014	0,1
-0,014	0,1
-0,014	0,1
-0,014	0,1
-0,014	0,1
-0,014	0,1
-0,016	0,1
-0,016	0,1
-0,016	0,1
-0,017	0,1
-0,017	0,1
-0,017	0,1
-0,019	0,1
-0,019	0,1
-0,020	0,1
-0,022	0,1
-0,024	0,1
-0,027	0,1
-0,028	0,1
-0,031	0,1
-0,031	0,1
-0,033	0,1
-0,036	0,1
-0,041	0,1
-0,046	0,1
-0,050	0,1
-0,055	0,1
-0,061	0,1
-0,069	0,1
-0,075	0,1
-0,080	0,1
-0,082	0,1
-0,082	0,1
-0,080	0,1
-0,079	0,1
-0,082	0,1
-0,085	0,1
-0,088	0,1
-0,093	0,1
-0,096	0,1
-0,099	0,1
-0,104	0,1
-0,110	0,1
-0,119	0,1
-0,127	0,1
-0,135	0,1
-0,140	0,1
-0,141	0,1
-0,145	0,1
-0,146	0,1
-0,145	0,1
-0,141	0,1
-0,141	0,1
-0,145	0,1
-0,148	0,1
-0,148	0,1
-0,148	0,1
-0,149	0,1
-0,152	0,1
-0,154	0,1
-0,156	0,1
-0,157	0,1
-0,159	0,1
-0,162	0,1
-0,162	0,1
-0,163	0,1
-0,165	0,1
-0,167	0,1
-0,168	0,1
-0,168	0,1
-0,170	0,1
-0,171	0,1
-0,171	0,1
-0,171	0,1
-0,173	0,1
-0,173	0,1
-0,176	0,1
-0,178	0,1
-0,181	0,1
-0,182	0,1
-0,185	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,187	0,1
-0,188	0,1
-0,188	0,1
-0,188	0,1
-0,188	0,1
-0,190	0,1
-0,192	0,1
-0,192	0,1
-0,192	0,1
-0,193	0,1
-0,193	0,1
-0,195	0,1
-0,195	0,1
-0,196	0,1
-0,196	0,1
-0,198	0,1
-0,198	0,0
-0,198	0,1
-0,199	0,1
-0,201	0,1
-0,204	0,1
-0,206	0,1
-0,209	0,1
-0,209	0,1
-0,210	0,1
-0,212	0,1
-0,214	0,1
-0,215	0,1
-0,217	0,1
-0,218	0,1
-0,220	0,1
-0,223	0,1
-0,225	0,1
-0,228	0,1
-0,231	0,1
-0,232	0,1
-0,236	0,1
-0,237	0,1
-0,237	0,1
-0,237	0,1
-0,237	0,1
-0,239	0,1
-0,239	0,1
-0,239	0,0
-0,239	0,1
-0,239	0,1
-0,239	0,1
-0,239	0,1
-0,239	0,1
-0,239	0,1
-0,239	0,1
-0,240	0,1
-0,240	0,1
-0,242	0,1
-0,243	0,1
-0,247	0,1
-0,250	0,1
-0,251	0,1
-0,251	0,1
-0,253	0,1
-0,254	0,1
-0,256	0,1
-0,259	0,1
-0,261	0,1
-0,261	0,1
-0,261	0,1
-0,262	0,1
-0,264	0,1
-0,265	0,1
-0,267	0,1
-0,269	0,1
-0,270	0,1
-0,270	0,1
-0,272	0,1
-0,273	0,1
-0,275	0,1
-0,276	0,1
-0,276	0,1
-0,278	0,1
-0,280	0,1
-0,281	0,1
-0,281	0,1
-0,281	0,1
-0,281	0,1
-0,283	0,1
-0,284	0,1
-0,286	0,1
-0,287	0,1
-0,287	0,1
-0,289	0,1
-0,291	0,1
-0,294	0,1
-0,297	0,1
-0,300	0,1
-0,303	0,1
-0,305	0,1
-0,306	0,1
-0,308	0,1
-0,309	0,1
-0,313	0,1
-0,316	0,1
-0,317	0,1
-0,319	0,1
-0,320	0,1
-0,324	0,1
-0,325	0,1
-0,325	0,1
-0,325	0,1
-0,328	0,1
-0,333	0,1
-0,336	0,1
-0,338	0,1
-0,338	0,1
-0,339	0,1
-0,342	0,1
-0,346	0,1
-0,350	0,1
-0,353	0,1
-0,355	0,1
-0,357	0,1
-0,357	0,1
-0,358	0,1
-0,361	0,1
-0,363	0,1
-0,364	0,1
-0,366	0,1
-0,366	0,1
-0,366	0,1
-0,368	0,1
-0,369	0,1
-0,371	0,1
-0,372	0,1
-0,372	0,1
-0,372	0,1
-0,372	0,1
-0,372	0,1
-0,374	0,1
-0,374	0,1
-0,374	0,1
-0,375	0,1
-0,375	0,1
-0,377	0,1
-0,379	0,1
-0,380	0,1
-0,383	0,1
-0,385	0,1
-0,385	0,1
-0,388	0,1
-0,390	0,1
-0,391	0,1
-0,393	0,1
-0,396	0,1
-0,397	0,1
-0,399	0,1
-0,401	0,1
-0,402	0,1
-0,404	0,1
-0,405	0,1
-0,407	0,1
-0,408	0,1
-0,408	0,1
-0,408	0,1
-0,408	0,1
-0,412	0,1
-0,413	0,1
-0,415	0,1
-0,416	0,1
-0,418	0,1
-0,418	0,1
-0,419	0,1
-0,421	0,1
-0,424	0,1
-0,424	0,1
-0,426	0,1
-0,426	0,1
-0,426	0,1
-0,426	0,1
-0,427	0,1
-0,429	0,1
-0,430	0,1
-0,432	0,1
-0,432	0,1
-0,432	0,1
-0,434	0,1
-0,434	0,1
-0,434	0,1
-0,434	0,1
-0,435	0,1
-0,438	0,1
-0,441	0,1
-0,445	0,1
-0,446	0,1
-0,448	0,1
-0,448	0,1
-0,449	0,1
-0,451	0,1
-0,454	0,1
-0,457	0,1
-0,459	0,1
-0,460	0,1
-0,462	0,1
-0,462	0,1
-0,463	0,1
-0,467	0,1
-0,468	0,1
-0,470	0,1
-0,470	0,1
-0,471	0,1
-0,474	0,1
-0,476	0,1
-0,479	0,1
-0,479	0,1
-0,481	0,1
-0,481	0,1
-0,481	0,1
-0,481	0,1
-0,482	0,1
-0,485	0,1
-0,489	0,1
-0,490	0,1
-0,492	0,1
-0,493	0,1
-0,495	0,1
-0,498	0,1
-0,504	0,1
-0,509	0,1
-0,515	0,1
-0,518	0,1
-0,522	0,1
-0,523	0,1
-0,525	0,1
-0,526	0,1
-0,531	0,1
-0,536	0,1
-0,539	0,1
-0,540	0,1
-0,542	0,1
-0,543	0,1
-0,547	0,1
-0,548	0,1
-0,550	0,1
-0,551	0,1
-0,551	0,1
-0,554	0,1
-0,556	0,1
-0,559	0,1
-0,561	0,1
-0,561	0,1
-0,561	0,1
-0,562	0,1
-0,564	0,1
-0,565	0,1
-0,567	0,1
-0,569	0,1
-0,569	0,1
-0,570	0,1
-0,570	0,1
-0,572	0,1
-0,573	0,1
-0,575	0,1
-0,576	0,1
-0,576	0,1
-0,578	0,1
-0,580	0,1
-0,581	0,1
-0,584	0,1
-0,587	0,1
-0,591	0,1
-0,592	0,1
-0,595	0,1
-0,597	0,1
-0,597	0,1
